,official gene symbol,cell type (general),cell type id (human),gene id
1973,LAMC2,Basal cells,Q101404853,Q18028466
1974,LAMC2,Keratinocytes,Q101405049,Q18028466
1975,LAMC2,Myoepithelial cells,Q101404924,Q18028466
1976,LAMC2,Stromal cells,Q101404941,Q18028466
1977,BMP7,Basal cells,Q101404853,Q14903102
1978,BMP7,Meningeal cells,Q101405083,Q14903102
1979,MYLK,Basal cells,Q101404853,Q18029774
1980,MYLK,Endothelial cells,Q101404908,Q18029774
1981,MYLK,Myoepithelial cells,Q101404924,Q18029774
1982,MYLK,Neutrophils,Q101405102,Q18029774
1983,MYLK,Smooth muscle cells,Q101404901,Q18029774
1984,IL3RA,Basophils,Q101405089,Q18027827
1985,IL3RA,Hematopoietic stem cells,Q101405052,Q18027827
1986,IL3RA,Plasmacytoid dendritic cells,Q101405033,Q18027827
1987,CCR3,Basophils,Q101405089,Q17907805
1988,CCR3,Eosinophils,Q101405048,Q17907805
1989,CCR3,Mast cells,Q101404923,Q17907805
1990,CCR3,Platelets,Q101404882,Q17907805
1991,CCR3,Red pulp macrophages,Q101404936,Q17907805
1992,CCR3,T helper cells,Q101404876,Q17907805
1994,ENPP3,Basophils,Q101405089,Q18030435
1995,ENPP3,Mast cells,Q101404923,Q18030435
1996,FCER1A,Basophils,Q101405089,Q17927758
1997,FCER1A,Dendritic cells,Q101404869,Q17927758
1998,FCER1A,Mast cells,Q101404923,Q17927758
1999,LTC4S,Basophils,Q101405089,Q14913409
2000,LTC4S,Endothelial cells,Q101404908,Q14913409
2001,LTC4S,Eosinophils,Q101405048,Q14913409
2002,LTC4S,Mast cells,Q101404923,Q14913409
2003,LTC4S,Microglia,Q101404888,Q14913409
2004,CPA3,Basophils,Q101405089,Q17909128
2005,CPA3,Eosinophils,Q101405048,Q17909128
2006,CPA3,Mast cells,Q101404923,Q17909128
2007,ITGAL,Basophils,Q101405089,Q14904995
2008,ITGAL,Epithelial cells,Q101404948,Q14904995
2009,ITGAL,Fibroblasts,Q101404861,Q14904995
2010,ITGAL,Macrophages,Q101405081,Q14904995
2011,ITGAL,Monocytes,Q101405036,Q14904995
2012,ITGAM,Basophils,Q101405089,Q14905324
2013,ITGAM,Dendritic cells,Q101404869,Q14905324
2014,ITGAM,Macrophages,Q101405081,Q14905324
2015,ITGAM,Microglia,Q101404888,Q14905324
2016,ITGAM,Monocytes,Q101405036,Q14905324
2017,ITGAM,Myeloid-derived suppressor cells,Q101062473,Q14905324
2018,ITGAM,Myeloid-derived suppressor cells,Q101404944,Q14905324
2019,ITGAM,Neutrophils,Q101405102,Q14905324
2020,ITGAM,NK cells,Q68620803,Q14905324
2021,ITGB7,Basophils,Q101405089,Q18028046
2022,ITGB7,T memory cells,Q101405071,Q18028046
2023,IL4,Basophils,Q101405089,Q14865947
2024,IL4,Mast cells,Q101404923,Q14865947
2025,IL4,Myocytes,Q101404903,Q14865947
2026,IL4,T helper cells,Q101404876,Q14865947
2028,MS4A2,Basophils,Q101405089,Q17927759
2029,MS4A2,Mast cells,Q101404923,Q17927759
2030,MS4A3,Basophils,Q101405089,Q17858733
2031,HDC,Basophils,Q101405089,Q14888529
2032,HDC,Ependymal cells,Q101405078,Q14888529
2033,HDC,Mast cells,Q101404923,Q14888529
2034,HDC,Neutrophils,Q101405102,Q14888529
2035,GATA2,Basophils,Q101405089,Q18025461
2036,GATA2,Epithelial cells,Q101404948,Q18025461
2037,GATA2,Hematopoietic stem cells,Q101405052,Q18025461
2038,GATA2,Interneurons,Q101405035,Q18025461
2039,GATA2,Megakaryocytes,Q101404874,Q18025461
2040,GATA2,Pluripotent stem cells,Q101405055,Q18025461
2041,CD33,Basophils,Q101405089,Q5009814
2042,CD33,Hematopoietic stem cells,Q101405052,Q5009814
2043,CD33,Macrophages,Q101405081,Q5009814
2044,CD33,Monocytes,Q101405036,Q5009814
2045,CD33,Myeloid-derived suppressor cells,Q101062473,Q5009814
2046,CD33,Myeloid-derived suppressor cells,Q101404944,Q5009814
2047,CD33,Neutrophils,Q101405102,Q5009814
2048,CD33,NK cells,Q68620803,Q5009814
2049,CD44,Basophils,Q101405089,Q14880373
2050,CD44,Erythroblasts,Q101405046,Q14880373
2051,CD44,Erythroid-like and erythroid precursor cells,Q101404957,Q14880373
2052,CD44,Fibroblasts,Q101404861,Q14880373
2053,CD44,Hematopoietic stem cells,Q101405052,Q14880373
2054,CD44,Monocytes,Q101405036,Q14880373
2055,CD44,Müller cells,Q101405096,Q14880373
2056,CD44,Müller cells,Q101405097,Q14880373
2057,CD44,Natural killer T cells,Q101404895,Q14880373
2058,CD44,Osteoblasts,Q101405044,Q14880373
2059,HTR1B,Basophils,Q101405089,Q18027423
2060,IGFBP7,Basophils,Q101405089,Q18027689
2061,IGFBP7,Endothelial cells,Q101404908,Q18027689
2062,IGFBP7,Hepatic stellate cells,Q101404946,Q18027689
2063,DNASE2B,Basophils,Q101405089,Q18044998
2064,FADS2,Basophils,Q101405089,Q18034075
2065,GPC4,Basophils,Q101405089,Q5573601
2066,GRM6,Basophils,Q101405089,Q18026551
2067,GRM6,Photoreceptor cells,Q101404878,Q18026551
2068,GRM6,Photoreceptor cells,Q101404879,Q18026551
2069,ACSS2,Basophils,Q101405089,Q18042148
2070,ACSS2,Hepatocytes,Q101405101,Q18042148
2071,ADORA2B,Basophils,Q101405089,Q4682273
2072,AQP9,Basophils,Q101405089,Q17831441
2073,AQP9,Hepatocytes,Q101405101,Q17831441
2074,AQP9,Osteoclasts,Q101404928,Q17831441
2075,BACE1,Basophils,Q101405089,Q14891871
2076,BACE1,Interneurons,Q101405035,Q14891871
2077,BACE1,Oligodendrocytes,Q101404898,Q14891871
2078,BMP4,Basophils,Q101405089,Q14903397
2079,BMP4,Cardiac stem and precursor cells,Q101405076,Q14903397
2080,BMP4,Cardiomyocytes,Q101405077,Q14903397
2081,BMP4,Endothelial cells (aorta),Q101404926,Q14903397
2082,BMP4,Epsilon cells,Q101404922,Q14903397
2083,BMP4,Stromal cells,Q101404941,Q14903397
2084,CABLES1,Basophils,Q101405089,Q18048562
2085,CCL4,Basophils,Q101405089,Q14907551
2086,CCL4,Microglia,Q101404888,Q14907551
2087,CCL4,NK cells,Q68620803,Q14907551
2088,CCL4,T cells,Q101405075,Q14907551
2089,E2F8,Basophils,Q101405089,Q18046307
2090,FADS1,Basophils,Q101405089,Q18028586
2091,FAR2,Basophils,Q101405089,Q18041983
2092,FBXO9,Basophils,Q101405089,Q18038205
2093,GABBR1,Basophils,Q101405089,Q18025012
2094,GPR183,Basophils,Q101405089,Q17915142
2095,GPR183,Microglia,Q101404888,Q17915142
2096,GPR183,Plasmacytoid dendritic cells,Q101405033,Q17915142
2097,HGF,Basophils,Q101405089,Q14906204
2098,HGF,Fibroblasts,Q101404861,Q14906204
2099,HGF,Hepatic stellate cells,Q101404946,Q14906204
2100,HIST1H1D,Basophils,Q101405089,Q18026737
2101,HIST1H2AC,Basophils,Q101405089,Q18032832
2102,IFITM1,Basophils,Q101405089,Q18033066
2103,IFITM1,Gamma delta T cells,Q101405093,Q18033066
2104,IFITM1,Pericytes,Q101405045,Q18033066
2105,INF2,Basophils,Q101405089,Q18045670
2106,JAZF1,Basophils,Q101405089,Q18053535
2107,L1CAM,Basophils,Q101405089,Q14865255
2108,L1CAM,Enteric glia cells,Q101405119,Q14865255
2109,L1CAM,Enterocytes,Q101405073,Q14865255
2110,L1CAM,Interneurons,Q101405035,Q14865255
2111,L1CAM,Principal cells,Q101404911,Q14865255
2112,LAMA5,Basophils,Q101405089,Q18028450
2113,LAMA5,Keratinocytes,Q101405049,Q18028450
2114,MBOAT1,Basophils,Q101405089,Q18052265
2115,NFIL3,Basophils,Q101405089,Q18030096
2116,NPL,Basophils,Q101405089,Q18046830
2117,OSBPL5,Basophils,Q101405089,Q18049100
2118,OTUB2,Basophils,Q101405089,Q18045920
2119,OTUB2,Germ cells,Q101404931,Q18045920
2120,P2RY1,Basophils,Q101405089,Q18030321
2121,P2RY1,Bergmann glia,Q101404920,Q18030321
2122,P2RY1,Chromaffin cells,Q101404868,Q18030321
2123,PDK3,Basophils,Q101405089,Q18030432
2124,PDZD4,Basophils,Q101405089,Q18043189
2125,PERP,Basophils,Q101405089,Q18045541
2126,PERP,Ductal cells,Q101404956,Q18045541
2127,PERP,Trophoblast cells,Q101404927,Q18045541
2128,PIGY,Basophils,Q101405089,Q18047946
2129,PLEKHG5,Basophils,Q101405089,Q18043040
2130,PLG,Basophils,Q101405089,Q18030589
2131,RNF39,Basophils,Q101405089,Q18046736
2132,SLC26A3,Basophils,Q101405089,Q17914667
2133,SLC26A3,Enterocytes,Q101405073,Q17914667
2134,SLC26A8,Basophils,Q101405089,Q18049224
2135,SNCAIP,Basophils,Q101405089,Q18034495
2136,ST6GALNAC5,Basophils,Q101405089,Q18047108
2137,SUPT3H,Basophils,Q101405089,Q18032955
2138,TULP3,Basophils,Q101405089,Q18032230
2139,TEC,Basophils,Q101405089,Q18031939
2140,UNC93A,Basophils,Q101405089,Q18040985
2141,WRN,Basophils,Q101405089,Q14883734
2142,WRN,Erythroblasts,Q101405046,Q14883734
2143,ID1,Basophils,Q101405089,Q18027500
2144,ID1,Endothelial cells,Q101404908,Q18027500
2145,GRIA4,Bergmann glia,Q101404920,Q18026487
2146,GRIA4,Interneurons,Q101405035,Q18026487
2147,GRIA4,Neurons,Q101405104,Q18026487
2148,GRM3,Bergmann glia,Q101404920,Q18026541
2149,A2M,Bergmann glia,Q101404920,Q289013
2150,PTCH1,Bergmann glia,Q101404920,Q18030895
2151,PTCH1,Fibroblasts,Q101404861,Q18030895
2152,PTCH1,Leydig cells,Q101405116,Q18030895
2153,CDC42EP4,Bergmann glia,Q101404920,Q18037289
2154,BTBD17,Bergmann glia,Q101404920,Q18056495
2155,HOPX,Bergmann glia,Q101404920,Q18047640
2156,HOPX,Beta cells,Q101405087,Q18047640
2157,HOPX,Crypt cells,Q101405043,Q18047640
2158,HOPX,Gamma delta T cells,Q101405093,Q18047640
2159,HOPX,Mesangial cells,Q101405121,Q18047640
2160,HOPX,Neural stem/precursor cells,Q101405041,Q18047640
2161,HOPX,NK cells,Q68620803,Q18047640
2162,HOPX,Pulmonary alveolar type I cells,Q101405061,Q18047640
2163,HOPX,T cells,Q101405075,Q18047640
2164,HOPX,Trophoblast cells,Q101404927,Q18047640
2165,TTC21B,Bergmann glia,Q101404920,Q18046367
2166,HEPACAM,Bergmann glia,Q101404920,Q18053432
2167,HEPACAM,Oligodendrocytes,Q101404898,Q18053432
2168,ZEB2,Bergmann glia,Q101404920,Q15318481
2169,ZEB2,Fibroblasts,Q101404861,Q15318481
2170,UFL1,Bergmann glia,Q101404920,Q18037132
2171,NRXN3,Bergmann glia,Q101404920,Q18034037
2172,ATP7A,Bergmann glia,Q101404920,Q14884608
2173,BICD2,Bergmann glia,Q101404920,Q18037071
2174,P2RX7,Bergmann glia,Q101404920,Q18030320
2175,P2RX7,Epithelial cells,Q101404948,Q18030320
2176,P2RX7,Microglia,Q101404888,Q18030320
2177,P2RX7,Neural stem/precursor cells,Q101405041,Q18030320
2178,P2RX7,Pulmonary alveolar type I cells,Q101405061,Q18030320
2179,P2RX7,T follicular helper cells,Q101405110,Q18030320
2180,P2RX7,T follicular helper cells,Q101404875,Q18030320
2181,P2RX7,Taste receptor cells,Q101405050,Q18030320
2182,GRIA1,Bergmann glia,Q101404920,Q18026481
2183,GRIN2B,Bergmann glia,Q101404920,Q18026519
2184,GRIN2B,Glutaminergic neurons,Q101404918,Q18026519
2185,GRIN3A,Bergmann glia,Q101404920,Q18049232
2186,SEPT4,Bergmann glia,Q101404920,Q18030637
2187,DAO,Bergmann glia,Q101404920,Q17912747
2188,ITGB1,Bergmann glia,Q101404920,Q14912083
2189,ITGB1,Embryonic stem cells,Q101405112,Q14912083
2190,ITGB1,Erythroblasts,Q101405046,Q14912083
2191,ITGB1,Osteoclasts,Q101404928,Q14912083
2192,KIF1BP,Bergmann glia,Q101404920,Q20970074
2193,KIF1BP,Olfactory epithelial cells,Q101405047,Q20970074
2194,GCGR,Beta cells,Q101405087,Q14904911
2195,JPH3,Beta cells,Q101405087,Q18043012
2196,JPH3,Enteric neurons,Q101404906,Q18043012
2197,HAMP,Beta cells,Q101405087,Q14882371
2198,HAMP,Cardiomyocytes,Q101405077,Q14882371
2199,HAMP,Hepatocytes,Q101405101,Q14882371
2200,EZH1,Beta cells,Q101405087,Q17917762
2201,NTRK1,Beta cells,Q101405087,Q14897694
2202,NTRK1,Chromaffin cells,Q101404868,Q14897694
2203,NTRK1,Immature neurons,Q101405067,Q14897694
2204,NTRK1,Schwann cells,Q101404893,Q14897694
2205,PDX1,Beta cells,Q101405087,Q18027973
2206,PDX1,Delta cells,Q101404889,Q18027973
2207,PDX1,Ductal cells,Q101404956,Q18027973
2208,PDX1,Pancreatic progenitor cells,Q101405063,Q18027973
2209,SLC2A2,Beta cells,Q101405087,Q18031525
2210,SLC2A2,Enterocytes,Q101405073,Q18031525
2211,SLC2A2,Hepatocytes,Q101405101,Q18031525
2212,NKX6-2,Beta cells,Q101405087,Q18047629
2213,NKX6-2,Oligodendrocyte progenitor cells,Q101404917,Q18047629
2214,NKX6-2,Oligodendrocytes,Q101404898,Q18047629
2215,FXYD2,Beta cells,Q101405087,Q17833123
2216,FXYD2,Cholangiocytes,Q101405042,Q17833123
2217,FXYD2,Delta cells,Q101404889,Q17833123
2218,FXYD2,Distal tubule cells,Q101405088,Q17833123
2219,FXYD2,Gamma (PP) cells,Q101405057,Q17833123
2220,FXYD2,Intercalated cells,Q101404915,Q17833123
2221,NPY,Beta cells,Q101405087,Q14864369
2222,NPY,Chromaffin cells,Q101404868,Q14864369
2223,NPY,Interneurons,Q101405035,Q14864369
2224,NPY,Neuroendocrine cells,Q101405206,Q14864369
2225,NPY,Neurons,Q101405104,Q14864369
2226,NPY,Schwann cells,Q101404893,Q14864369
2227,INS,Beta cells,Q101405087,Q21163221
2228,RIMS1,Beta cells,Q101405087,Q18036647
2229,MAFA,Beta cells,Q101405087,Q18056700
2230,EFNA5,Beta cells,Q101405087,Q5382384
2231,EFNA5,Enteric neurons,Q101404906,Q5382384
2232,EFNA5,Olfactory epithelial cells,Q101405047,Q5382384
2233,LMX1A,Beta cells,Q101405087,Q18028621
2234,LMX1A,Enterochromaffin cells,Q101405125,Q18028621
2235,PAX4,Beta cells,Q101405087,Q18030355
2236,PAX4,Delta cells,Q101404889,Q18030355
2237,IAPP,Beta cells,Q101405087,Q14865246
2238,IAPP,Delta cells,Q101404889,Q14865246
2239,IAPP,Enteroendocrine cells,Q101404935,Q14865246
2240,G6PC2,Beta cells,Q101405087,Q18044649
2241,GJD2,Beta cells,Q101405087,Q18043016
2242,GJD2,Chromaffin cells,Q101404868,Q18043016
2243,IGF2,Beta cells,Q101405087,Q14874349
2244,IGF2,Chondrocytes,Q101405092,Q14874349
2245,IGF2,Chromaffin cells,Q101404868,Q14874349
2246,IGF2,Leydig cells,Q101405116,Q14874349
2247,IGF2,Meningeal cells,Q101405083,Q14874349
2248,IGF2,Myoblasts,Q101404940,Q14874349
2249,IGF2,Spermatocytes,Q101404900,Q14874349
2250,IGF2,Trophoblast cells,Q101404927,Q14874349
2251,SYT13,Beta cells,Q101405087,Q18043177
2252,SYT13,Interneurons,Q101405035,Q18043177
2253,NPTX2,Beta cells,Q101405087,Q18030208
2254,NPTX2,Delta cells,Q101404889,Q18030208
2255,PFKFB2,Beta cells,Q101405087,Q18030481
2256,EDARADD,Beta cells,Q101405087,Q18049853
2257,ADCYAP1,Beta cells,Q101405087,Q14907479
2258,CASR,Beta cells,Q101405087,Q15321271
2259,CASR,Delta cells,Q101404889,Q15321271
2260,CASR,Osteoclasts,Q101404928,Q15321271
2261,CASR,Parathyroid chief cells,Q101405106,Q15321271
2262,ISL1,Beta cells,Q101405087,Q18028009
2263,ISL1,Cardiac stem and precursor cells,Q101405076,Q18028009
2264,ISL1,Delta cells,Q101404889,Q18028009
2265,ISL1,Enteroendocrine cells,Q101404935,Q18028009
2266,ISL1,Gamma (PP) cells,Q101405057,Q18028009
2267,ISL1,Interneurons,Q101405035,Q18028009
2268,ISL1,Motor neurons,Q101404862,Q18028009
2269,ISL1,Neuroblasts,Q101405031,Q18028009
2270,ISL1,Neurons,Q101405104,Q18028009
2271,ISL1,Pancreatic progenitor cells,Q101405063,Q18028009
2272,ISL1,Photoreceptor cells,Q101404878,Q18028009
2273,ISL1,Photoreceptor cells,Q101404879,Q18028009
2274,ISL1,Retinal ganglion cells,Q101405117,Q18028009
2275,ISL1,Satellite cells,Q101404953,Q18028009
2276,TGFBR3,Beta cells,Q101405087,Q14911562
2277,SMAD9,Beta cells,Q101405087,Q14904385
2278,SMAD9,Embryonic stem cells,Q101405112,Q14904385
2279,SIX3,Beta cells,Q101405087,Q18031510
2280,SIX3,Ependymal cells,Q101405078,Q18031510
2281,SIX3,Retinal progenitor cells,Q101404912,Q18031510
2282,SIX2,Beta cells,Q101405087,Q18035634
2283,SIX2,Kidney progenitor cells,Q101405120,Q18035634
2284,BMP5,Beta cells,Q101405087,Q14903759
2285,BMP5,Stromal cells,Q101404941,Q14903759
2286,PIR,Beta cells,Q101405087,Q18033091
2287,STXBP5,Beta cells,Q101405087,Q18050566
2288,STXBP5,Enteric neurons,Q101404906,Q18050566
2289,DLK1,Beta cells,Q101405087,Q18033372
2290,DLK1,Chondrocytes,Q101405092,Q18033372
2291,DLK1,Hepatoblasts,Q101404910,Q18033372
2292,DLK1,Leydig cells,Q101405116,Q18033372
2293,DLK1,Pericytes,Q101405045,Q18033372
2294,MEG3,Beta cells,Q101405087,Q18041809
2295,MEG3,Hepatic stellate cells,Q101404946,Q18041809
2296,MEG3,Neurons,Q101405104,Q18041809
2297,RGS16,Beta cells,Q101405087,Q18031122
2298,RGS16,Enteric glia cells,Q101405119,Q18031122
2299,RGS16,Pancreatic progenitor cells,Q101405063,Q18031122
2300,RELN,Cajal-Retzius cells,Q101405091,Q414043
2301,RELN,Hepatic stellate cells,Q101404946,Q414043
2302,RELN,Interneurons,Q101405035,Q414043
2303,DIABLO,Cajal-Retzius cells,Q101405091,Q18042415
2304,DIABLO,Plasma cells,Q101405123,Q18042415
2305,ST3GAL5,Cajal-Retzius cells,Q101405091,Q18033490
2306,ISOC1,Cajal-Retzius cells,Q101405091,Q18039919
2307,SMOC2,Cajal-Retzius cells,Q101405091,Q18045557
2308,SMOC2,Crypt cells,Q101405043,Q18045557
2309,SMOC2,Enterocytes,Q101405073,Q18045557
2310,SMOC2,Leydig cells,Q101405116,Q18045557
2311,DYNC1I1,Cajal-Retzius cells,Q101405091,Q248215
2312,DYNC1I1,Neurons,Q101405104,Q248215
2313,NHLH2,Cajal-Retzius cells,Q101405091,Q18030135
2314,NHLH2,Retinal ganglion cells,Q101405117,Q18030135
2315,CLSTN2,Cajal-Retzius cells,Q101405091,Q18045550
2316,CLSTN2,Olfactory epithelial cells,Q101405047,Q18045550
2317,TMEM163,Cajal-Retzius cells,Q101405091,Q18047060
2318,TMEM163,Interneurons,Q101405035,Q18047060
2319,TMEM163,Oligodendrocytes,Q101404898,Q18047060
2320,TMEM163,Retinal ganglion cells,Q101405117,Q18047060
2321,CACNA2D2,Cajal-Retzius cells,Q101405091,Q18033947
2322,CACNA2D2,Dopaminergic neurons,Q101405098,Q18033947
2323,CACNA2D2,Neurons,Q101405104,Q18033947
2324,CACNA2D2,Purkinje neurons,Q101404913,Q18033947
2325,CACNA2D2,Tanycytes,Q101405074,Q18033947
2326,CIB2,Cajal-Retzius cells,Q101405091,Q18035447
2327,NDNF,Cajal-Retzius cells,Q101405091,Q18046211
2328,NDNF,Interneurons,Q101405035,Q18046211
2329,NDNF,Photoreceptor cells,Q101404878,Q18046211
2330,NDNF,Photoreceptor cells,Q101404879,Q18046211
2331,LINGO1,Cajal-Retzius cells,Q101405091,Q18047852
2332,LINGO1,Interneurons,Q101405035,Q18047852
2333,LINGO1,Olfactory epithelial cells,Q101405047,Q18047852
2334,LNPK,Cajal-Retzius cells,Q101405091,Q18046823
2335,RNF138,Cajal-Retzius cells,Q101405091,Q18040293
2336,TMEM170B,Cajal-Retzius cells,Q101405091,Q18062480
2337,ABCC5,Cajal-Retzius cells,Q101405091,Q18034990
2338,ABCC5,Interneurons,Q101405035,Q18034990
2339,CNRIP1,Cajal-Retzius cells,Q101405091,Q18037803
2340,CNRIP1,Neurons,Q101405104,Q18037803
2341,EBF3,Cajal-Retzius cells,Q101405091,Q18053707
2342,EBF3,Olfactory epithelial cells,Q101405047,Q18053707
2343,FUT9,Cajal-Retzius cells,Q101405091,Q18035608
2344,FUT9,Immature neurons,Q101405067,Q18035608
2345,FUT9,Proximal tubule cells,Q101404885,Q18035608
2346,PABPN1,Cajal-Retzius cells,Q101405091,Q18032735
2347,PABPN1,Neurons,Q101405104,Q18032735
2348,GNL3L,Cajal-Retzius cells,Q101405091,Q18041096
2349,GNL3L,Neurons,Q101405104,Q18041096
2350,NUDT2,Cajal-Retzius cells,Q101405091,Q17829061
2351,NSMCE3,Cajal-Retzius cells,Q101405091,Q18042308
2352,DACH1,Cajal-Retzius cells,Q101405091,Q17912302
2353,DACH1,Loop of Henle cells,Q101405109,Q17912302
2354,DACH1,Podocytes,Q101405039,Q17912302
2355,FAM69B,Cajal-Retzius cells,Q101405091,Q18050720
2356,FAM69B,Neurons,Q101405104,Q18050720
2357,HOMER2,Cajal-Retzius cells,Q101405091,Q18034249
2358,HOMER2,Olfactory epithelial cells,Q101405047,Q18034249
2359,MAP9,Cajal-Retzius cells,Q101405091,Q18046436
2360,DNM3,Cajal-Retzius cells,Q101405091,Q18037903
2361,DNM3,Interneurons,Q101405035,Q18037903
2362,DNM3,Mast cells,Q101404923,Q18037903
2363,DNM3,Neurons,Q101405104,Q18037903
2364,LZTFL1,Cajal-Retzius cells,Q101405091,Q18041125
2365,FSD1,Cajal-Retzius cells,Q101405091,Q18046055
2366,TCEAL1,Cajal-Retzius cells,Q101405091,Q18034013
2367,RAB11FIP2,Cajal-Retzius cells,Q101405091,Q18036527
2368,BARHL2,Cajal-Retzius cells,Q101405091,Q18055560
2369,BARHL2,Neural stem/precursor cells,Q101405041,Q18055560
2370,BARHL2,Retinal ganglion cells,Q101405117,Q18055560
2371,TRIM44,Cajal-Retzius cells,Q101405091,Q18041243
2372,SLC17A6,Cajal-Retzius cells,Q101405091,Q18042873
2373,SLC17A6,Glutaminergic neurons,Q101404918,Q18042873
2374,SLC17A6,Interneurons,Q101405035,Q18042873
2375,SLC17A6,Neurons,Q101405104,Q18042873
2376,SLC17A6,Retinal ganglion cells,Q101405117,Q18042873
2377,SLC17A6,Trigeminal neurons,Q101404857,Q18042873
2378,B3GALT1,Cajal-Retzius cells,Q101405091,Q18033233
2379,SLITRK5,Cajal-Retzius cells,Q101405091,Q18037900
2380,ERC2,Cajal-Retzius cells,Q101405091,Q18037948
2381,NBEA,Cajal-Retzius cells,Q101405091,Q18038524
2382,NBEA,Interneurons,Q101405035,Q18038524
2383,NBEA,Neurons,Q101405104,Q18038524
2384,SLC25A36,Cajal-Retzius cells,Q101405091,Q18041631
2385,ZDBF2,Cajal-Retzius cells,Q101405091,Q18044418
2386,MAPK8,Cajal-Retzius cells,Q101405091,Q18255755
2387,GDF5,Cajal-Retzius cells,Q101405091,Q14912046
2388,ACHE,Cajal-Retzius cells,Q101405091,Q407983
2389,ACHE,Cholinergic neurons,Q101405051,Q407983
2390,ACHE,Langerhans cells,Q101405080,Q407983
2391,ACHE,Mast cells,Q101404923,Q407983
2392,ACHE,Megakaryocytes,Q101404874,Q407983
2393,ACHE,Myoblasts,Q101404940,Q407983
2394,CCM2,Cajal-Retzius cells,Q101405091,Q18047208
2395,CCM2,Pyramidal cells,Q101404930,Q18047208
2396,WRAP73,Cajal-Retzius cells,Q101405091,Q18039803
2397,NRG1,Cajal-Retzius cells,Q101405091,Q14914188
2398,NRG1,Olfactory epithelial cells,Q101405047,Q14914188
2399,ATP13A2,Cajal-Retzius cells,Q101405091,Q18037150
2400,CNTNAP2,Cajal-Retzius cells,Q101405091,Q18037897
2401,CNTNAP2,Neurons,Q101405104,Q18037897
2402,CNTNAP2,Photoreceptor cells,Q101404878,Q18037897
2403,CNTNAP2,Photoreceptor cells,Q101404879,Q18037897
2404,CNTNAP2,Purkinje neurons,Q101404913,Q18037897
2405,LHX1,Cajal-Retzius cells,Q101405091,Q18028551
2406,LHX1,Distal tubule cells,Q101405088,Q18028551
2407,LHX1,Interneurons,Q101405035,Q18028551
2408,LINGO2,Cajal-Retzius cells,Q101405091,Q18052365
2409,FAT3,Cajal-Retzius cells,Q101405091,Q18049382
2410,SRGAP3,Cajal-Retzius cells,Q101405091,Q18034864
2411,SRGAP3,Interneurons,Q101405035,Q18034864
2412,CDH4,Cajal-Retzius cells,Q101405091,Q17859830
2413,CDH4,Interneurons,Q101405035,Q17859830
2414,CDH4,Radial glia cells,Q101404897,Q17859830
2415,FLRT3,Cajal-Retzius cells,Q101405091,Q18037637
2416,EDIL3,Cajal-Retzius cells,Q101405091,Q18035014
2417,ZCCHC12,Cajal-Retzius cells,Q101405091,Q18052888
2418,ZCCHC12,Neurons,Q101405104,Q18052888
2419,FAM196A,Cajal-Retzius cells,Q101405091,Q18059500
2420,SMAD1,Cajal-Retzius cells,Q101405091,Q14903784
2421,SMAD1,Embryonic stem cells,Q101405112,Q14903784
2422,TBR1,Cajal-Retzius cells,Q101405091,Q18035619
2423,TBR1,Immature neurons,Q101405067,Q18035619
2424,TBR1,Pyramidal cells,Q101404930,Q18035619
2425,KCNH7,Cajal-Retzius cells,Q101405091,Q18048163
2426,LHX5,Cajal-Retzius cells,Q101405091,Q18045603
2427,LHX5,Interneurons,Q101405035,Q18045603
2428,CALB2,Cajal-Retzius cells,Q101405091,Q14908072
2429,CALB2,Interneurons,Q101405035,Q14908072
2430,CALB2,Leydig cells,Q101405116,Q14908072
2431,CALB2,Mesothelial cells,Q101405100,Q14908072
2432,CALB2,Neurons,Q101405104,Q14908072
2433,CALB2,Olfactory epithelial cells,Q101405047,Q14908072
2434,CALB2,Retinal progenitor cells,Q101404912,Q14908072
2435,CALB2,Stromal cells,Q101404941,Q14908072
2436,EMX2,Cajal-Retzius cells,Q101405091,Q17916811
2437,EMX2,Radial glia cells,Q101404897,Q17916811
2438,ZIC2,Cajal-Retzius cells,Q101405091,Q18032421
2439,WNT7B,Cajal-Retzius cells,Q101405091,Q18032364
2440,AATF,Cajal-Retzius cells,Q101405091,Q18038298
2441,NANOS1,Cajal-Retzius cells,Q101405091,Q18055440
2442,TBCK,Cajal-Retzius cells,Q101405091,Q18048728
2443,TBCK,Principal cells,Q101404911,Q18048728
2444,RGMB,Cajal-Retzius cells,Q101405091,Q18054586
2445,RGMB,Enteric neurons,Q101404906,Q18054586
2446,RGMB,Enterocytes,Q101405073,Q18054586
2447,DACT1,Cajal-Retzius cells,Q101405091,Q18040228
2448,EOMES,Cajal-Retzius cells,Q101405091,Q18032818
2449,EOMES,Interneurons,Q101405035,Q18032818
2450,EOMES,Neural stem/precursor cells,Q101405041,Q18032818
2451,EOMES,Neuroblasts,Q101405031,Q18032818
2452,CNR1,Cajal-Retzius cells,Q101405091,Q21163314
2453,CNR1,Neuroblasts,Q101405031,Q21163314
2454,HAR1A,Cajal-Retzius cells,Q101405091,Q18061997
2455,MYH6,Cardiac stem and precursor cells,Q101405076,Q18029742
2456,MYH6,Cardiomyocytes,Q101405077,Q18029742
2457,MYH6,Smooth muscle cells,Q101404901,Q18029742
2458,TBX18,Cardiac stem and precursor cells,Q101405076,Q18033823
2459,TBX18,Fibroblasts,Q101404861,Q18033823
2460,TBX18,Mesangial cells,Q101405121,Q18033823
